,last_name,first_name,full_name,birthday,gender,type,state,district,party,url,address,phone,contact_form,rss_url,twitter,facebook,facebook_id,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
Legislator 11,Menéndez,Robert,Robert Menéndez,1/1/54,M,sen,NJ,,Democrat,http://www.menendez.senate.gov,528 Hart Senate Office Building Washington DC 20510,202-224-4744,http://www.menendez.senate.gov/contact,http://www.menendez.senate.gov/rss/feeds/index.cfm?type=news,SenatorMenendez,senatormenendez,3.49745E+11,SenatorMenendezNJ,UC0PV0K9Z5a9p3D5917KF5fw,M000639,791,N00000699,S306,29608,400272,26961,Bob Menendez,gIQAYgYw6O,29373,Bob Menendez
Legislator 12,Nelson,Bill,Bill Nelson,9/29/42,M,sen,FL,,Democrat,http://www.billnelson.senate.gov,716 Hart Senate Office Building Washington DC 20510,202-224-5274,http://www.billnelson.senate.gov/contact-bill,,SenBillNelson,,,senbillnelson,UC1Iir7_h98mI9-hHzrDJWpw,N000032,859,N00009926,S282,1931,300078,1606,Bill Nelson (Florida),gIQAlLuy9O,14651,Bill Nelson
Legislator 13,Sanders,Bernard,Bernard Sanders,9/8/41,M,sen,VT,,Independent,http://www.sanders.senate.gov,332 Dirksen Senate Office Building Washington DC 20510,202-224-5141,http://www.sanders.senate.gov/contact/comment,http://www.sanders.senate.gov/rss/,SenSanders,senatorsanders,9124187907,senatorsanders,UCD_DaKNac0Ta-2PeHuoQ1uA,S000033,1010,N00000528,S313,994,400357,27110,Bernie Sanders,gIQABiDjMP,29147,Bernie Sanders
Legislator 14,Stabenow,Debbie,Debbie Stabenow,4/29/50,F,sen,MI,,Democrat,http://www.stabenow.senate.gov,731 Hart Senate Office Building Washington DC 20510,202-224-4822,http://www.stabenow.senate.gov/?p=contact,http://stabenow.senate.gov/rss/?p=news,SenStabenow,,,senatorstabenow,UCFoDKCvxSwCUfDv-4Eg4K5A,S000770,1531,N00004118,S284,45451,300093,515,Debbie Stabenow,gIQA5t8DAP,29732,Debbie Stabenow
Legislator 15,Tester,Jon,Jon Tester,8/21/56,M,sen,MT,,Democrat,http://www.tester.senate.gov,311 Hart Senate Office Building Washington DC 20510,202-224-2644,http://www.tester.senate.gov/?p=email_senator,http://www.tester.senate.gov/rss/?p=hot_topic,SenatorTester,senatortester,2.10573E+11,senatorjontester,UCgXAF-CON1coZFMxQkfj0fg,T000464,1829,N00027605,S314,1020176,412244,20928,Jon Tester,gIQAw67AAP,40702,Jon Tester
Legislator 16,Whitehouse,Sheldon,Sheldon Whitehouse,10/20/55,M,sen,RI,,Democrat,http://www.whitehouse.senate.gov,530 Hart Senate Office Building Washington DC 20510,202-224-2921,http://www.whitehouse.senate.gov/contact,http://www.whitehouse.senate.gov/rss/feeds/?type=all&amp;cachebuster=1,SenWhitehouse,SenatorWhitehouse,1.94173E+14,SenatorWhitehouse,UCnG0N70SNBkNqvIMLodPTIA,W000802,1823,N00027533,S316,92235,412247,2572,Sheldon Whitehouse,gIQA7KHw9O,40704,Sheldon Whitehouse
Legislator 17,Barrasso,John,John Barrasso,7/21/52,M,sen,WY,,Republican,http://www.barrasso.senate.gov,307 Dirksen Senate Office Building Washington DC 20510,202-224-6441,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=ContactUs.ContactForm,http://www.barrasso.senate.gov/public/index.cfm?FuseAction=Rss.Feed,SenJohnBarrasso,johnbarrasso,21146775942,barrassowyo,UC80PfiCAB2Fe1MFayWlR6GQ,B001261,1881,N00006236,S317,1024777,412251,52662,John Barrasso,gIQASOzBAP,40707,John Barrasso
Legislator 18,Wicker,Roger,Roger Wicker,7/5/51,M,sen,MS,,Republican,http://www.wicker.senate.gov,555 Dirksen Senate Office Building Washington DC 20510,202-224-6253,http://www.wicker.senate.gov/public/index.cfm/contact,,SenatorWicker,SenatorWicker,,SenatorWicker,UCIlKHiTjSkcQP_knBcXHWSg,W000437,1226,N00003280,S318,18203,400432,21926,Roger Wicker,gIQAC9ZCAP,29534,Roger Wicker
Legislator 19,Alexander,Lamar,Lamar Alexander,7/3/40,M,sen,TN,,Republican,http://www.alexander.senate.gov,455 Dirksen Senate Office Building Washington DC 20510,202-224-4944,http://www.alexander.senate.gov/public/index.cfm?p=Email,http://www.alexander.senate.gov/public/?a=rss.feed,SenAlexander,senatorlamaralexander,89927603836,lamaralexander,UChDLBjn5RWqgMmCSswT05IQ,A000360,1695,N00009888,S289,5,300002,15691,Lamar Alexander,gIQAzZQL9O,40304,Lamar Alexander
Legislator 20,Cochran,Thad,Thad Cochran,12/7/37,M,sen,MS,,Republican,http://www.cochran.senate.gov,113 Dirksen Senate Office Building Washington DC 20510,202-224-5054,http://www.cochran.senate.gov/public/index.cfm/email-me,http://www.cochran.senate.gov/public/index.cfm/rss/feed,SenThadCochran,,,sencochran,UCTnKP_ye7nI5DEn_zreaa3g,C000567,213,N00003328,S136,1200,300023,53312,Thad Cochran,gIQAJk599O,14009,Thad Cochran
Legislator 21,Collins,Susan,Susan Collins,12/7/52,F,sen,ME,,Republican,http://www.collins.senate.gov,413 Dirksen Senate Office Building Washington DC 20510,202-224-2523,http://www.collins.senate.gov/public/index.cfm/email,http://www.collins.senate.gov/public/?a=rss.feed,SenatorCollins,susancollins,7593313361,SenatorSusanCollins,UC6GYaBx5kT2r4PN8KENxC-w,C001035,1541,N00000491,S252,45738,300025,379,Susan Collins,gIQAPvDu9O,49703,Susan Collins
Legislator 22,Cornyn,John,John Cornyn,2/2/52,M,sen,TX,,Republican,http://www.cornyn.senate.gov,517 Hart Senate Office Building Washington DC 20510,202-224-2934,http://www.cornyn.senate.gov/public/index.cfm?p=ContactForm,http://www.cornyn.senate.gov/public/?a=rss.feed,JohnCornyn,sen.johncornyn,75755694423,senjohncornyn,UCyQwLQavlOaJ64YuY_VMtiQ,C001056,1692,N00024852,S287,93131,300027,15375,John Cornyn,gIQAy80L9O,40305,John Cornyn
Legislator 23,Durbin,Richard,Richard Durbin,11/21/44,M,sen,IL,,Democrat,http://www.durbin.senate.gov,711 Hart Senate Office Building Washington DC 20510,202-224-2152,http://www.durbin.senate.gov/public/index.cfm/contact,http://durbin.senate.gov/public/index.cfm/rss/feed,SenatorDurbin,SenatorDurbin,1.80437E+14,SenatorDurbin,UCkbixlNCxcKAffEhe3X5-lw,D000563,326,N00004981,S253,6741,300038,26847,Dick Durbin,gIQArl8V9O,15021,Dick Durbin
Legislator 24,Enzi,Michael,Michael Enzi,2/1/44,M,sen,WY,,Republican,http://www.enzi.senate.gov,379A Russell Senate Office Building Washington DC 20510,202-224-3424,http://www.enzi.senate.gov/public/index.cfm/contact?p=e-mail-senator-enzi,http://www.enzi.senate.gov/public/index.cfm/rss/feed,SenatorEnzi,mikeenzi,23068049436,senatorenzi,UCipEXEDAKVPj_B0cQjaikEA,E000285,1542,N00006249,S254,45824,300041,558,Mike Enzi,gIQAAWfCAP,49706,Mike Enzi
Legislator 25,Graham,Lindsey,Lindsey Graham,7/9/55,M,sen,SC,,Republican,http://www.lgraham.senate.gov,290 Russell Senate Office Building Washington DC 20510,202-224-5972,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Contact.EmailSenatorGraham,http://www.lgraham.senate.gov/public/index.cfm?FuseAction=Rss.Feed,GrahamBlog,USSenatorLindseyGraham,2.57938E+11,USSenLindseyGraham,UClLGZMA5Ei2Z8fR1PLEx6yQ,G000359,452,N00009975,S293,36782,300047,21992,Lindsey Graham,gIQAEdOu9O,29566,Lindsey Graham
Legislator 26,Inhofe,James,James Inhofe,11/17/34,M,sen,OK,,Republican,http://www.inhofe.senate.gov,205 Russell Senate Office Building Washington DC 20510,202-224-4721,http://www.inhofe.senate.gov/contact,http://www.inhofe.senate.gov/rss/feeds/?type=all&amp;cachebuster=eea6c4d7%2d939c%2d5c1e%2db6c7aa3b8b291208,InhofePress,jiminhofe,55018309421,jiminhofepressoffice,UCk3W3ilX8vGG-300qzNpG7w,I000024,583,N00005582,S236,5619,300055,27027,Jim Inhofe,gIQASu669O,15424,Jim Inhofe
Legislator 27,McConnell,Mitch,Mitch McConnell,2/20/42,M,sen,KY,,Republican,http://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=ContactForm,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,,M000355,1395,N00003389,S174,2351,300072,53298,Mitch McConnell,gIQAYR2b9O,14921,Mitch McConnell
Legislator 28,Merkley,Jeff,Jeff Merkley,10/24/56,M,sen,OR,,Democrat,http://www.merkley.senate.gov,313 Hart Senate Office Building Washington DC 20510,202-224-3753,http://www.merkley.senate.gov/contact/,http://www.merkley.senate.gov/rss/,SenJeffMerkley,jeffmerkley,74374931545,SenatorJeffMerkley,UCRoXttCJhMnLVCxCaa6VnNQ,M001176,1900,N00029303,S322,1029842,412325,23644,Jeff Merkley,gIQAosnb9O,40908,Jeff Merkley
Legislator 29,Reed,John,John Reed,11/12/49,M,sen,RI,,Democrat,http://www.reed.senate.gov,728 Hart Senate Office Building Washington DC 20510,202-224-4642,http://www.reed.senate.gov/contact/,https://www.reed.senate.gov//rss/feeds/?type=all,SenJackReed,SenJackReed,2.13866E+14,SenatorReed,UCT_aFVtsjxPwWKfO-PW_hPw,R000122,949,N00000362,S259,24239,300081,27060,Jack Reed,gIQAT2gt9O,29142,Jack Reed (politician)
Legislator 30,Risch,James,James Risch,5/3/43,M,sen,ID,,Republican,http://www.risch.senate.gov,483 Russell Senate Office Building Washington DC 20510,202-224-2752,http://www.risch.senate.gov/public/index.cfm?p=Email,,SenatorRisch,,,SenatorJamesRisch,UCncKW8xyT5UbPNO27YuQnBA,R000584,1896,N00029441,S323,1020034,412322,2919,Jim Risch,gIQAWIdW9O,40902,Jim Risch
Legislator 31,Roberts,Pat,Pat Roberts,4/20/36,M,sen,KS,,Republican,http://www.roberts.senate.gov,109 Hart Senate Office Building Washington DC 20510,202-224-4774,http://www.roberts.senate.gov/public/index.cfm?p=EmailPat,http://www.roberts.senate.gov/public/?a=rss.feed,SenPatRoberts,SenPatRoberts,2.05695E+14,SenPatRoberts,UCRpswvC8LgxzE9AYSFpqUgw,R000307,968,N00005285,S260,16354,300083,26866,Pat Roberts,gIQAUECAAP,14852,Pat Roberts
Legislator 32,Sessions,Jefferson,Jefferson Sessions,12/24/46,M,sen,AL,,Republican,http://www.sessions.senate.gov,326 Russell Senate Office Building Washington DC 20510,202-224-4124,http://www.sessions.senate.gov/public/index.cfm/contact-jeff,http://www.sessions.senate.gov/public/index.cfm?fuseaction=rss.feed,SenatorSessions,jeffsessions,23444159584,SenatorSessions,UCd5Nv9gL89TCR03kD2SfaIQ,S001141,1548,N00003062,S261,44441,300088,443,Jeff Sessions,gIQAHXOBAP,49700,Jeff Sessions
Legislator 33,Shaheen,Jeanne,Jeanne Shaheen,1/28/47,F,sen,NH,,Democrat,http://www.shaheen.senate.gov,506 Hart Senate Office Building Washington DC 20510,202-224-2841,http://www.shaheen.senate.gov/contact/,http://www.shaheen.senate.gov/rss/,SenatorShaheen,SenatorShaheen,1.27504E+14,senatorshaheen,UCjLZAZMbDrybHyttdEC9LFA,S001181,1901,N00024790,S324,22850,412323,1663,Jeanne Shaheen,gIQAZP1b9O,40906,Jeanne Shaheen
Legislator 34,Udall,Tom,Tom Udall,5/18/48,M,sen,NM,,Democrat,http://www.tomudall.senate.gov,531 Hart Senate Office Building Washington DC 20510,202-224-6621,http://www.tomudall.senate.gov/?p=contact,http://tomudall.senate.gov/rss/?p=blog,SenatorTomUdall,senatortomudall,1.06434E+11,senatortomudall,UCADpIVS6bxOcr-uWnJCC9pQ,U000039,1567,N00006561,S326,10075,400413,22658,Tom Udall,gIQAv2eM9O,29924,Tom Udall
Legislator 35,Warner,Mark,Mark Warner,12/15/54,M,sen,VA,,Democrat,http://www.warner.senate.gov,475 Russell Senate Office Building Washington DC 20510,202-224-2023,http://www.warner.senate.gov/public//index.cfm?p=ContactPage#form_f9db6196-2dc7-4cda-8add-f8435a71318a,http://www.warner.senate.gov/public/?a=rss.feed,MarkWarner,MarkRWarner,7935122852,SenatorMarkWarner,UCwyivNlEGf4sGd1oDLfY5jw,W000805,1897,N00002097,S327,7630,412321,535,Mark Warner,gIQAUqPM9O,40909,Mark Warner
Legislator 36,Gillibrand,Kirsten,Kirsten Gillibrand,12/9/66,F,sen,NY,,Democrat,http://www.gillibrand.senate.gov,478 Russell Senate Office Building Washington DC 20510,202-224-4451,http://www.gillibrand.senate.gov/contact/,http://www.gillibrand.senate.gov/rss/,SenGillibrand,KirstenGillibrand,,KirstenEGillibrand,UCVEloQogVsmnkd5vxJInmYg,G000555,1866,N00027658,S331,1022862,412223,65147,Kirsten Gillibrand,gIQAz4Kt9O,20735,Kirsten Gillibrand
Legislator 37,Franken,Alan,Alan Franken,5/21/51,M,sen,MN,,Democrat,http://www.franken.senate.gov,309 Hart Senate Office Building Washington DC 20510,202-224-5641,http://www.franken.senate.gov/?p=email_al,http://franken.senate.gov/rss/?p=hot_topic,,,,SenatorFranken,UCMFNp5ybWmz6IlSXmPacTOw,F000457,1969,N00029016,S332,23334,412378,108924,Al Franken,gIQAnCqo9O,40904,Al Franken
Legislator 38,Coons,Chris,Chris Coons,9/9/63,M,sen,DE,,Democrat,http://www.coons.senate.gov,127A Russell Senate Office Building Washington DC 20510,202-224-5042,http://www.coons.senate.gov/contact/,http://www.coons.senate.gov/rss/feeds/?type=all,SenCoonsOffice,senatorchriscoons,2.54951E+14,senatorchriscoons,UC2lOVbsddn1HIkcDnmCw6tA,C001088,1984,N00031820,S337,9269028,412390,122834,Chris Coons,gIQAaKfTKP,40916,Chris Coons
Legislator 39,Manchin,Joe,Joe Manchin,8/24/47,M,sen,WV,,Democrat,http://www.manchin.senate.gov,306 Hart Senate Office Building Washington DC 20510,202-224-3954,http://www.manchin.senate.gov/public/index.cfm/contact-form,http://www.manchin.senate.gov/public/index.cfm/rss/feed,Sen_JoeManchin,JoeManchinIII,1.01501E+16,SenatorJoeManchin,UCGyPK_ye2ptpzQgOjKIn7ag,M001183,1983,N00032838,S338,62864,412391,7547,Joe Manchin III,gIQA82bVBP,40915,Joe Manchin
Legislator 40,Aderholt,Robert,Robert Aderholt,7/22/65,M,rep,AL,4,Republican,https://aderholt.house.gov,235 Cannon HOB; Washington DC 20515-0104,202-225-4876,http://aderholt.house.gov/email-me2/,http://aderholt.house.gov/common/rss//index.cfm?rss=20,Robert_Aderholt,RobertAderholt,19787529402,RobertAderholt,UC71CAgpg1gbLTew_pfTneGA,A000055,1460,N00003028,,45516,400004,441,Robert B. Aderholt,gIQAw6QSAP,29701,Robert Aderholt
Legislator 41,Amash,Justin,Justin Amash,4/18/80,M,rep,MI,3,Republican,http://amash.house.gov,114 Cannon HOB; Washington DC 20515-2203,202-225-3831,https://amash.house.gov/contact-me/email-me,http://amash.house.gov/rss.xml,,repjustinamash,1.73604E+14,repjustinamash,UCeg6HhoCXrS8xpON9dxtZgA,A000367,2029,N00031938,,1033767,412438,105566,Justin Amash,gIQAMkzZKP,21143,Justin Amash
Legislator 42,Ayotte,Kelly,Kelly Ayotte,6/27/68,F,sen,NH,,Republican,http://www.ayotte.senate.gov,144 Russell Senate Office Building Washington DC 20510,202-224-3324,http://www.ayotte.senate.gov/?p=contact,http://ayotte.senate.gov/rss/?p=news,,kellyayottenh,1.23436E+14,SenatorAyotte,UCe_jD6bQuBwAo4CxwUm_ztw,A000368,2075,N00030980,S340,95241,412493,42352,Kelly A. Ayotte,gIQA6LfTKP,41106,Kelly Ayotte
Legislator 43,Baldwin,Tammy,Tammy Baldwin,2/11/62,F,sen,WI,,Democrat,http://www.baldwin.senate.gov,717 Hart Washington DC 20510,202-224-5653,http://www.baldwin.senate.gov/contact,http://www.baldwin.senate.gov/rss/feeds/?type=all,SenatorBaldwin,TammyBaldwin,7357041101,witammybaldwin,UC_XjYCRbbI2_TDDjJidwk0Q,B001230,1558,N00004367,S354,57884,400013,3470,Tammy Baldwin,gIQAgHwPAP,29940,Tammy Baldwin
Legislator 44,Barletta,Lou,Lou Barletta,1/28/56,M,rep,PA,11,Republican,http://barletta.house.gov,115 Cannon HOB; Washington DC 20515-3811,202-225-6511,https://barletta.house.gov/contact/email-me,http://barletta.house.gov/common/rss//index.cfm?rss=25,RepLouBarletta,CongressmanLouBarletta,1.92357E+14,reploubarletta,UChViw1Iv0nY1b3Qq9Q0vDBQ,B001269,2054,N00025495,,29618,412469,47143,Lou Barletta,gIQA3fVUKP,21171,Lou Barletta
Legislator 45,Barton,Joe,Joe Barton,9/15/49,M,rep,TX,6,Republican,http://joebarton.house.gov,2107 Rayburn HOB; Washington DC 20515-4306,202-225-2002,https://joebarton.house.gov/contact1/,http://joebarton.house.gov/index.php?format=feed&amp;type=rss,RepJoeBarton,RepJoeBarton,15617630596,repjoebarton,UC9zg5RmxfNdBfz4iZuzvWXg,B000213,62,N00005656,,5248,400018,27082,,gIQAhoxEAP,15085,Joe Barton
Legislator 46,Bass,Karen,Karen Bass,10/3/53,F,rep,CA,37,Democrat,http://bass.house.gov,408 Cannon HOB; Washington DC 20515-0537,202-225-7084,https://bass.house.gov/contact-me/email-me,http://bass.house.gov/rss.xml,RepKarenBass,RepKarenBass,1.90867E+14,RepKarenBass,UCQZg7oxkV3Yag2emYPLhT2g,B001270,1996,N00031877,,62502,412404,28963,,gIQA45LZKP,21110,Karen Bass
Legislator 47,Becerra,Xavier,Xavier Becerra,1/26/58,M,rep,CA,34,Democrat,http://becerra.house.gov,1226 Longworth HOB; Washington DC 20515-0534,202-225-6235,http://becerraforms.house.gov/forms/writeyourrep/,http://becerra.house.gov/index.php?format=feed&amp;type=rss,RepBecerra,XavierBecerra,90311772229,XavierBecerra,UCoY0rJzkgkl1TmoKTUKTI6w,B000287,70,N00009774,,26567,400021,26754,Xavier Becerra,gIQAenAR9O,29316,Xavier Becerra
Legislator 48,Benishek,Dan,Dan Benishek,4/20/52,M,rep,MI,1,Republican,http://benishek.house.gov,514 Cannon HOB; Washington DC 20515-2201,202-225-4735,https://benishek.house.gov/contact-me/email-me,http://benishek.house.gov/rss.xml,CongressmanDan,CongressmanDan,1.24164E+14,,,B001271,2027,N00031934,,61860,412436,123056,Dan Benishek,gIQAOvErKP,21141,Dan Benishek
Legislator 49,Bennet,Michael,Michael Bennet,11/28/64,M,sen,CO,,Democrat,http://www.bennet.senate.gov,261 Russell Senate Office Building Washington DC 20510,202-224-5852,http://www.bennet.senate.gov/contact/email,http://www.bennet.senate.gov/rss/feeds/?type=news,SenBennetCo,senatorbennet,97172997732,SenatorBennet,UCXB3cljpMwTyCUyLr2ZVLow,B001267,1965,N00030608,S330,1031622,412330,110942,Michael Bennet,gIQA8vao9O,40910,Michael Bennet
Legislator 50,Bilirakis,Gus,Gus Bilirakis,2/8/63,M,rep,FL,12,Republican,https://bilirakis.house.gov,2112 Rayburn HOB; Washington DC 20515-0912,202-225-5755,https://bilirakis.house.gov/email-congressman-bilirakis/,http://bilirakis.house.gov/index.php?format=feed&amp;type=rss,RepGusBilirakis,GusBilirakis,1.35446E+14,RepGusBilirakis,UC2z1uu1n4-60xXs5x1mvLJw,B001257,1838,N00027462,,1022873,412250,17318,Gus M. Bilirakis,gIQAjtHPAP,20758,Gus Bilirakis
Legislator 51,Bishop,Rob,Rob Bishop,7/13/51,M,rep,UT,1,Republican,http://robbishop.house.gov,123 Cannon HOB; Washington DC 20515-4401,202-225-0453,https://robbishop.house.gov/contact/contactform.htm,http://robbishop.house.gov/news/rss.aspx,RepRobBishop,RepRobBishop,,CongressmanBishop,UCJC2BXNGQEUom7Tp7FKfxlQ,B001250,1753,N00025292,,1003621,400029,50544,Rob Bishop,gIQALHQPAP,20357,Rob Bishop
Legislator 52,Bishop,Sanford,Sanford Bishop,2/4/47,M,rep,GA,2,Democrat,http://bishop.house.gov,2407 Rayburn HOB; Washington DC 20515-1002,202-225-3631,http://bishop.house.gov/contact,http://bishop.house.gov/rss.xml,SanfordBishop,sanfordbishop,3.6674E+11,RepSanfordBishop,UCxF9veLBrkr_CqVq5eFYVGg,B000490,91,N00002674,,26194,400030,26817,,gIQATrCOAP,29339,Sanford Bishop
Legislator 53,Black,Diane,Diane Black,1/16/51,F,rep,TN,6,Republican,http://black.house.gov,1131 Longworth HOB; Washington DC 20515-4206,202-225-4231,https://black.house.gov/contact-me/email-me,http://black.house.gov/rss.xml,RepDianeBlack,DianeBlackTN06,1.86436E+14,RepDianeBlack,UCREZGYWeFh6-gfodmoWVUFg,B001273,2063,N00031539,,9268964,412478,25292,,gIQAtZuYKP,21180,Diane Black
Legislator 54,Blackburn,Marsha,Marsha Blackburn,6/6/52,F,rep,TN,7,Republican,http://blackburn.house.gov,2266 Rayburn HOB; Washington DC 20515-4207,202-225-2811,https://blackburn.house.gov/contactform/email.htm,http://blackburn.house.gov/news/rss.aspx,MarshaBlackburn,marshablackburn,6470828395,RepMarshaBlackburn,UCvNnmu5mUm7xr8QXBlbtQ9w,B001243,1748,N00003105,,31226,400032,25186,Marsha Blackburn,gIQALZuKAP,20351,Marsha Blackburn
Legislator 55,Blumenauer,Earl,Earl Blumenauer,8/16/48,M,rep,OR,3,Democrat,http://blumenauer.house.gov,1111 Longworth HOB; Washington DC 20515-3703,202-225-4811,https://forms.house.gov/blumenauer/webforms/issue_subscribe.html,http://blumenauer.house.gov/index.php?format=feed&amp;type=rss,BlumenauerMedia,,,RepBlumenauer,UCuziVoKuGn7feNA5VrpxsBQ,B000574,99,N00007727,,43809,400033,367,Earl Blumenauer,gIQAqvaOAP,29588,Earl Blumenauer
Legislator 56,Blumenthal,Richard,Richard Blumenthal,2/13/46,M,sen,CT,,Democrat,http://www.blumenthal.senate.gov,706 Hart Senate Office Building Washington DC 20510,202-224-2823,https://www.blumenthal.senate.gov/contact/,http://www.blumenthal.senate.gov/rss/feeds/?type=all,SenBlumenthal,SenBlumenthal,2.89987E+14,SenatorBlumenthal,UCHH-fn3_LVt0Q4od56rOi5g,B001277,2076,N00031685,S341,21799,412490,1568,Richard Blumenthal,gIQAeNwz6O,41101,Richard Blumenthal
